energy	absor_length[m]	wavelength
1.907	2349	650.55719
1.921	2283	645.98242
1.946	2163	637.40466
1.978	2026	627.11145
2.019	1866	614.53076
2.071	1689	599.09088
2.117	1543	585.93842
2.162	1423	573.92963
2.215	1290	560.20526
2.261	1188	548.76831
2.311	1086	536.75952
2.375	975	522.46332
2.442	873	508.16714
2.498	798	496.73019
2.566	714	483.5777
2.634	647	470.99707
2.706	581	458.41641
2.772	527	447.55133
2.852	465	434.97067
2.937	417	422.39001
3.011	377	412.09677
3.088	341	401.80353
3.174	306	390.93842
3.255	275	381.21701
3.335	253	372.06744
3.435	222	361.20233
3.524	199	352.0528
3.630	182	341.75952
3.737	160	332.03812
3.863	137	321.17303
3.991	124	310.87976
4.120	106	301.15836
4.216	102	294.29617
