energy	quartz_reflec	wavelangth
1.904	0.982	651.54608
2.055	0.981	603.69073
2.264	0.980	548.04016
2.584	0.979	480.15237
3.034	0.978	408.9209
3.163	0.977	392.21542
3.237	0.976	383.30197
3.314	0.976	374.38693
3.395	0.974	365.4671
3.474	0.973	357.10208
3.581	0.971	346.49973
3.663	0.969	338.68231
3.737	0.967	331.97836
3.821	0.965	324.71173
3.881	0.963	319.67761
3.943	0.961	314.64273
3.993	0.960	310.72369
4.044	0.958	306.80228
4.074	0.957	304.55942
4.127	0.955	300.64197
4.150	0.954	298.95786
4.181	0.953	296.71979
