energy	mirror_reflec	wavelangth
1.906	0.869	651.01862
1.914	0.872	648.20801
1.922	0.875	645.39484
1.931	0.878	642.58087
1.941	0.881	639.20886
1.958	0.883	633.6037
1.977	0.886	627.43542
1.997	0.890	621.2663
2.024	0.894	612.85815
2.055	0.898	603.88684
2.089	0.903	593.79437
2.124	0.908	584.26331
2.150	0.912	576.97302
2.176	0.915	570.24493
2.200	0.918	564.07666
2.217	0.920	559.59271
2.235	0.921	555.11212
2.256	0.923	550.07184
2.279	0.924	544.47766
2.300	0.925	539.44238
2.339	0.926	530.49133
2.361	0.927	525.45526
2.381	0.928	520.97803
2.400	0.929	517.06061
2.420	0.930	512.58337
2.439	0.931	508.66428
2.450	0.932	506.42102
2.466	0.933	503.05826
2.477	0.935	500.8125
2.522	0.936	491.86316
2.554	0.937	485.71091
2.643	0.938	469.49319
2.671	0.939	464.45541
2.701	0.940	459.41931
2.821	0.939	439.86331
2.902	0.938	427.57318
3.016	0.937	411.36984
3.171	0.936	391.25662
3.259	0.935	380.64407
3.343	0.934	371.14764
3.399	0.933	365.00723
3.431	0.932	361.65881
3.506	0.931	353.8425
3.546	0.930	349.93604
3.586	0.929	346.02872
3.668	0.928	338.21411
3.705	0.927	334.86487
3.749	0.926	330.9567
3.846	0.925	322.58401
3.893	0.924	318.6767
3.935	0.923	315.32831
3.991	0.922	310.86124
4.094	0.921	303.04831
4.163	0.920	298.02316
