energy	Index	wave length [¦Ìm]
1.909	1.4565	0.65
1.939	1.4568	0.64
1.969	1.4571	0.63
2.001	1.4574	0.62
2.034	1.4577	0.61
2.068	1.4580	0.6
2.103	1.4584	0.59
2.139	1.4587	0.58
2.177	1.4591	0.57
2.216	1.4595	0.56
2.256	1.4599	0.55
2.298	1.4603	0.54
2.341	1.4608	0.53
2.386	1.4613	0.52
2.433	1.4618	0.51
2.481	1.4623	0.5
2.532	1.4629	0.49
2.585	1.4635	0.48
2.640	1.4641	0.47
2.697	1.4648	0.46
2.757	1.4656	0.45
2.820	1.4663	0.44
2.885	1.4672	0.43
2.954	1.4681	0.42
3.026	1.4691	0.41
3.102	1.4701	0.4
3.181	1.4713	0.39
3.265	1.4725	0.38
3.353	1.4738	0.37
3.446	1.4753	0.36
3.545	1.4769	0.35
3.649	1.4787	0.34
3.760	1.4806	0.33
3.877	1.4827	0.32
4.002	1.4851	0.31
4.136	1.4878	0.3
